"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"69.147.82.61","312","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-image-1.0.8.js","-1","-1","200","-1","","3316","62","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","4421","1044","-1","GET","1865","1865","","0.19","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","839","/aaq/wf/wf-image-1.0.8.js","100","","Yahoo","1356","1044","1207","1207","1356","149","1044","1356","312","10","11","1","0","h2","high","","gzip","","","",
"69.147.82.61","312","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-fetch-1.3.6.js","-1","-1","200","-1","","5261","61","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","11600","1044","-1","GET","3810","3810","","0.18","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","839","/aaq/wf/wf-fetch-1.3.6.js","100","","Yahoo","1356","1044","1207","1207","1356","149","1044","1356","312","11","12","1","0","h2","high","","gzip","","","",
"69.147.82.61","316","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-rapid-1.0.6.js","-1","-1","200","-1","","2563","63","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","2554","1045","-1","GET","1112","1112","","0.20","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","840","/aaq/wf/wf-rapid-1.0.6.js","100","","Yahoo","1361","1045","1208","1208","1361","153","1045","1361","316","12","13","1","0","h2","high","","gzip","","","",
"69.147.82.61","318","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-scrollview-1.4.5.js","-1","-1","200","-1","","5713","64","38","","public,max-age=315360000","181105_P9_M","-1","164","-1","100","315303047","13961","1045","-1","GET","4262","4262","","0.21","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","840","/aaq/wf/wf-scrollview-1.4.5.js","100","","Yahoo","1363","1045","1209","1209","1363","154","1045","1363","318","13","14","1","0","h2","high","","gzip","","","",
"69.147.82.61","319","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-tabs-1.1.3.js","-1","-1","200","-1","","3295","65","33","","public,max-age=315360000","181105_P9_M","-1","164","-1","100","315303047","4674","1045","-1","GET","1844","1844","","0.22","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","840","/aaq/wf/wf-tabs-1.1.3.js","100","","Yahoo","1364","1045","1209","1209","1364","155","1045","1364","319","14","15","1","0","h2","high","","gzip","","","",
"69.147.82.61","320","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-text-1.0.6.js","-1","-1","200","-1","","2736","66","33","","public,max-age=315360000","181105_P9_M","-1","164","-1","100","315303047","3840","1046","-1","GET","1285","1285","","0.23","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","841","/aaq/wf/wf-text-1.0.6.js","100","","Yahoo","1366","1046","1210","1210","1366","156","1046","1366","320","15","16","1","0","h2","high","","gzip","","","",
"69.147.82.61","320","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-toggle-1.3.1.js","-1","-1","200","-1","","3995","67","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","7122","1047","-1","GET","2544","2544","","0.24","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","841","/aaq/wf/wf-toggle-1.3.1.js","100","","Yahoo","1367","1047","1210","1210","1367","157","1047","1367","320","16","17","1","0","h2","high","","gzip","","","",
"69.147.82.61","323","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/wf/wf-video-1.0.6.js","-1","-1","200","-1","","2885","68","34","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","3361","1047","-1","GET","1434","1434","","0.25","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","841","/aaq/wf/wf-video-1.0.6.js","100","","Yahoo","1370","1047","1210","1210","1370","160","1047","1370","323","17","18","1","0","h2","high","","gzip","","","",
"69.147.82.61","341","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/cmp/version/2.10.0/cmp.js","-1","-1","200","-1","","8395","77","37","","max-age=31536000","181105_P9_M","-1","203","-1","100","31531793","19541","1048","-1","GET","6953","6953","","0.28","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","842","/aaq/cmp/version/2.10.0/cmp.js","100","","Yahoo","1389","1048","1251","1251","1389","138","1048","1389","341","18","19","1","0","h2","high","","gzip","","","",
"69.147.82.61","340","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://s.yimg.com/aaq/caas/14753ee.caas-scooby.min.js","-1","-1","200","-1","","21831","69","40","","public,max-age=315360000","181105_P9_M","-1","163","-1","100","315303047","83159","1048","-1","GET","20379","20379","","0.26","-1","-1","s.yimg.com","100","-1","https://www.yahoo.com/","2","842","/aaq/caas/14753ee.caas-scooby.min.js","100","","Yahoo","1388","1048","1211","1211","1388","177","1048","1388","340","19","20","1","0","h2","high","","gzip","","","",
