"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"108.177.103.97","743","","","-1","-1","Script","3","779","1324","0","1","","100","849","https://www.googletagmanager.com/gtm.js?id=GTM-P528B3&gtm_auth=tfAzqo1rYDLgYhmTnSjPqw&gtm_preview=env-130&gtm_cookies_win=x","12","849","200","475","","61930","164","232","","181105_XN_8","791","200","792","100","","271593","1324","57","GET","61429","61429","","0.14","-1","-1","www.googletagmanager.com","100","-1","https://www.nytimes.com/","7","772","/gtm.js?id=GTM-P528B3&gtm_auth=tfAzqo1rYDLgYhmTnSjPqw&gtm_preview=env-130&gtm_cookies_win=x","-1","","Google","2067","1324","1524","1524","2067","543","779","2067","1287","10","11","1","0","h2","high","application/javascript; charset=UTF-8","","no-cache, no-store, must-revalidate","gzip","Fri, 01 Jan 1990 00:00:00 GMT","","",
"34.230.206.114","736","","","-1","-1","XHR","3","784","1326","","1","","-1","902","https://et.nytimes.com/","74","902","200","424","","1064","66","2700","","181105_XN_8","858","199","859","0","0","405","1327","43","POST","405","","688","0.15","-1","-1","et.nytimes.com","100","-1","https://www.nytimes.com/","5","780","/","0","","","2063","1327","1526","1526","2063","537","784","2063","1277","11","12","1","0","http/1.1","medium","application/json","","","","","","",
"172.217.195.156","735","","","-1","-1","Script","3","737","1328","0","1","","100","844","https://www.googletagservices.com/tag/js/gpt.js","42","844","200","484","","9417","82","173","","181105_XN_8","779","157","782","100","900","25010","1328","62","GET","8925","8925","30","0.4","-1","-1","www.googletagservices.com","100","-1","https://www.nytimes.com/","3","733","/tag/js/gpt.js","0","","Google","2063","1328","1485","1485","2063","578","737","2063","1323","12","13","1","0","h2","high","text/javascript","","private, max-age=900, stale-while-revalidate=3600","gzip","Mon, 05 Nov 2018 00:39:18 GMT","","",
"96.17.32.91","660","","","-1","-1","Script","3","824","1403","0","1","","100","925","https://js-sec.indexww.com/ht/p/183760-179626133031071.js","49","925","200","478","","25457","158","330","","181105_XN_8","873","76","876","100","2610","82687","1404","49","GET","25061","25061","28","0.7","-1","-1","js-sec.indexww.com","100","-1","https://www.nytimes.com/","4","743","/ht/p/183760-179626133031071.js","0","","Akamai","2064","1404","1480","1480","2064","584","824","2064","1236","13","14","1","0","http/1.1","high","text/javascript","","max-age=2610","gzip","Mon, 05 Nov 2018 01:22:48 GMT","","",
"34.230.206.114","625","43","","-1","100","Image","3","1339","1493","","1","","-1","1427","https://et.nytimes.com/pixel?url=https://www.nytimes.com/&referrer=&subject=module-interactions&moduleData=%7B%22module%22%3A%22nyt-vi-page-pixel%22%2C%22pgType%22%3A%22Homepage%22%2C%22eventName%22%3A%22Impression%22%2C%22action%22%3A%22Impression%22%7D&sourceApp=nyt-vi&instant=1&_=1541378357648","5","1427","200","66","0","725","1259","678","","181105_XN_8","1344","64","1345","-1","","43","1493","82","GET","43","","6","0.17","-1","-1","et.nytimes.com","100","-1","https://www.nytimes.com/","8","939","/pixel?url=https://www.nytimes.com/&referrer=&subject=module-interactions&moduleData=%7B%22module%22%3A%22nyt-vi-page-pixel%22%2C%22pgType%22%3A%22Homepage%22%2C%22eventName%22%3A%22Impression%22%2C%22action%22%3A%22Impression%22%7D&sourceApp=nyt-vi&instant=1&_=1541378357648","-1","","","2118","1493","1557","1557","2118","561","1339","2118","778","14","15","1","0","http/1.1","low","image/gif","","max-age=0","","Thu, 01 Jan 1970 00:00:01 GMT","","",
"108.177.103.139","519","","","-1","-1","Script","3","867","1606","0","1","","100","1190","https://news.google.com/swg/js/v1/swg.js","269","1190","200","416","","29949","417","168","","181105_XN_8","1136","94","1138","100","2452","99105","1606","52","GET","29553","29553","58","0.16","-1","-1","news.google.com","100","-1","https://www.nytimes.com/","10","865","/swg/js/v1/swg.js","0","","Google","2125","1606","1700","1700","2125","425","867","2125","1256","15","16","1","0","h2","high","text/javascript","","public, max-age=3000","gzip","Mon, 05 Nov 2018 01:20:10 GMT","","",
"151.101.185.164","520","","","-1","-1","Font","3","1125","1604","","1","","-1","1212","https://typeface.nyt.com/fonts/nyt-franklin-700-normal.woff","54","1212","200","392","","30443","1333","177","","181105_XN_8","1179","77","1180","100","11993467","29504","1607","32","GET","29504","","","0.20","-1","-1","typeface.nyt.com","100","-1","https://www.nytimes.com/","11","1119","/fonts/nyt-franklin-700-normal.woff","100","","Fastly","2127","1607","1684","1684","2127","443","1125","2127","998","16","17","1","0","h2","medium","application/font-woff","","public,max-age=31536000","","Sat, 23 Mar 2019 20:10:24 GMT","","",
"151.101.185.164","533","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://typeface.nyt.com/fonts/nyt-franklin-500-normal.woff","-1","-1","200","-1","","30242","1333","36","","181105_XN_8","-1","77","-1","100","11993462","29324","1608","-1","GET","29324","","","0.21","-1","-1","typeface.nyt.com","100","-1","https://www.nytimes.com/","11","1120","/fonts/nyt-franklin-500-normal.woff","100","","Fastly","2141","1608","1685","1685","2141","456","1608","2141","533","17","18","1","0","h2","medium","application/font-woff","","public,max-age=31536000","","Sat, 23 Mar 2019 20:10:23 GMT","","",
"151.101.185.164","529","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://typeface.nyt.com/fonts/nyt-cheltenham-700-normal.woff","-1","-1","200","-1","","35459","1333","37","","181105_XN_8","-1","77","-1","100","11993465","34520","1608","-1","GET","34520","","","0.22","-1","-1","typeface.nyt.com","100","-1","https://www.nytimes.com/","11","1120","/fonts/nyt-cheltenham-700-normal.woff","100","","Fastly","2137","1608","1685","1685","2137","452","1608","2137","529","18","19","1","0","h2","medium","application/font-woff","","public,max-age=31536000","","Sat, 23 Mar 2019 20:10:22 GMT","","",
"151.101.185.164","522","","","-1","-1","Font","3","-1","-1","","1","","-1","-1","https://typeface.nyt.com/fonts/nyt-cheltenham-400-normal.woff","-1","-1","200","-1","","32090","1333","37","","181105_XN_8","-1","77","-1","100","11993466","31172","1609","-1","GET","31172","","","0.24","-1","-1","typeface.nyt.com","100","-1","https://www.nytimes.com/","11","1121","/fonts/nyt-cheltenham-400-normal.woff","100","","Fastly","2131","1609","1686","1686","2131","445","1609","2131","522","19","20","1","0","h2","medium","application/font-woff","","public,max-age=31536000","","Sat, 23 Mar 2019 20:10:23 GMT","","",
