"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","contentEncoding",
"74.125.69.147","76","","","-1","-1","Script","3","-1","-1","text/javascript; charset=UTF-8","0","1","","100","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/exm=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/ed=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw/m=sb_wiz,aa,abd,async,dvl,foot,ipv6,mu,sf,mhp,qmp,rQSi2,xz7cCd?xjs=s1","-1","-1","200","-1","","30579","220","305","","public, max-age=31536000","181105_KZ_1","-1","38","-1","100","31488054","91072","1754","-1","GET","30162","30162","Mon, 04 Nov 2019 11:09:18 GMT","87","0.11","-1","-1","www.google.com","100","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","1","1753","/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/exm=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/ed=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw/m=sb_wiz,aa,abd,async,dvl,foot,ipv6,mu,sf,mhp,qmp,rQSi2,xz7cCd?xjs=s1","100","","Google","1830","1754","1792","1792","1830","38","1754","1830","76","10","11","1","0","h2","high","","gzip",
"","64","","","-1","-1","Beacon","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?atyp=csi&ei=p47fW_2bIcjZjwTe54DIDg&s=webhp&t=all&imn=2&adh=&ima=1&ime=1&imeb=0&imeo=0&rt=aft.183,dcl.123,iml.183,ol.809,prt.101,xjs.1010,xjsee.1010,xjses.550,xjsls.127,wsrt.754,cst.126,dnst.13,rqst.373,rspt.271,sslt.90,rqstt.474,unt.332,cstt.348,dit.877&zx=1541377704774","-1","-1","204","-1","","0","382","0","","","181105_KZ_1","-1","64","-1","-1","","0","1768","-1","POST","0","","","135","0.12","-1","-1","www.google.com","-1","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","-1","1768","/gen_204?atyp=csi&ei=p47fW_2bIcjZjwTe54DIDg&s=webhp&t=all&imn=2&adh=&ima=1&ime=1&imeb=0&imeo=0&rt=aft.183,dcl.123,iml.183,ol.809,prt.101,xjs.1010,xjsee.1010,xjses.550,xjsls.127,wsrt.754,cst.126,dnst.13,rqst.373,rspt.271,sslt.90,rqstt.474,unt.332,cstt.348,dit.877&zx=1541377704774","-1","","","1832","1768","1832","1832","1832","0","1768","1832","64","11","12","1","0","","","","",
"108.177.103.94","232","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/home_icon.svg","-1","-1","200","-1","","578","28","86","","public, max-age=31536000","181105_KZ_1","-1","85","-1","100","31248970","232","1771","-1","GET","179","179","Fri, 01 Nov 2019 16:44:34 GMT","21311","0.13","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1770","/navigationdrawer/home_icon.svg","100","","Google","2003","1771","1856","1856","2003","147","1771","2003","232","12","13","1","0","h2","low","","gzip",
"108.177.103.94","226","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/settings_icon.svg","-1","-1","200","-1","","861","28","40","","public, max-age=31536000","181105_KZ_1","-1","84","-1","100","31248971","869","1772","-1","GET","462","462","Fri, 01 Nov 2019 16:44:35 GMT","21311","0.15","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1771","/navigationdrawer/settings_icon.svg","100","","Google","1998","1772","1856","1856","1998","142","1772","1998","226","13","14","1","0","h2","low","","gzip",
"108.177.103.94","229","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/save_icon.svg","-1","-1","200","-1","","902","28","37","","public, max-age=31536000","181105_KZ_1","-1","84","-1","100","31248971","1016","1772","-1","GET","503","503","Fri, 01 Nov 2019 16:44:35 GMT","21311","0.14","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1771","/navigationdrawer/save_icon.svg","100","","Google","2001","1772","1856","1856","2001","145","1772","2001","229","14","15","1","0","h2","low","","gzip",
"108.177.103.94","218","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/help_icon.svg","-1","-1","200","-1","","701","28","37","","public, max-age=31536000","181105_KZ_1","-1","82","-1","100","31248971","465","1773","-1","GET","302","302","Fri, 01 Nov 2019 16:44:35 GMT","21311","0.17","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1773","/navigationdrawer/help_icon.svg","100","","Google","1991","1773","1855","1855","1991","136","1773","1991","218","15","16","1","0","h2","low","","gzip",
"108.177.103.94","221","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/privacy_advisor_icon.svg","-1","-1","200","-1","","808","28","45","","public, max-age=31536000","181105_KZ_1","-1","83","-1","100","31248971","796","1773","-1","GET","409","409","Fri, 01 Nov 2019 16:44:35 GMT","21311","0.16","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1772","/navigationdrawer/privacy_advisor_icon.svg","100","","Google","1994","1773","1856","1856","1994","138","1773","1994","221","16","17","1","0","h2","low","","gzip",
"108.177.103.94","232","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.gstatic.com/navigationdrawer/feedback_icon.svg","-1","-1","200","-1","","610","28","40","","public, max-age=31536000","181105_KZ_1","-1","82","-1","100","31248971","273","1774","-1","GET","211","211","Fri, 01 Nov 2019 16:44:35 GMT","21311","0.18","-1","-1","www.gstatic.com","100","-1","https://www.google.com/","3","1773","/navigationdrawer/feedback_icon.svg","100","","Google","2006","1774","1856","1856","2006","150","1774","2006","232","17","18","1","0","h2","low","","gzip",
"74.125.69.147","50","","","-1","-1","XHR","3","-1","-1","application/json; charset=UTF-8","0","1","","100","-1","https://www.google.com/async/promos?ei=p47fW_2bIcjZjwTe54DIDg&yv=3&async=g:19009213,p:19009232,m:i,ic:1,_fmt:jspb","-1","-1","200","-1","","422","344","256","","private","181105_KZ_1","-1","45","-1","100","0","32","2081","-1","GET","52","52","","476","0.20","-1","-1","www.google.com","100","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","1","2080","/async/promos?ei=p47fW_2bIcjZjwTe54DIDg&yv=3&async=g:19009213,p:19009232,m:i,ic:1,_fmt:jspb","0","","Google","2131","2081","2126","2126","2131","5","2081","2131","50","18","19","1","0","h2","medium","","gzip",
"74.125.69.147","43","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19009213&client=throttler&ei=p47fW_2bIcjZjwTe54DIDg&zx=1541377705089","-1","-1","200","-1","","367","1","93","","private","181105_KZ_1","-1","38","-1","100","","0","2084","-1","GET","0","","Mon, 05 Nov 2018 00:28:25 GMT","1952","0.21","-1","-1","www.google.com","100","-1","https://www.google.com/","1","2083","/fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19009213&client=throttler&ei=p47fW_2bIcjZjwTe54DIDg&zx=1541377705089","-1","","Google","2127","2084","2122","2122","2127","5","2084","2127","43","19","20","1","0","h2","low","","",
"74.125.69.147","48","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19009232&ic=1&ogd=google.com&ogprm=up&vet=10ahUKEwi9i_Cz_7veAhXI7IMKHd4zAOkQjW0IAQ.p47fW_2bIcjZjwTe54DIDg.s&vis=1&ei=p47fW_2bIcjZjwTe54DIDg&zx=1541377705109","-1","-1","204","-1","","110","1","165","","","181105_KZ_1","-1","42","-1","-1","","0","2104","-1","GET","0","","","1952","0.22","-1","-1","www.google.com","-1","-1","https://www.google.com/","1","2103","/gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19009232&ic=1&ogd=google.com&ogprm=up&vet=10ahUKEwi9i_Cz_7veAhXI7IMKHd4zAOkQjW0IAQ.p47fW_2bIcjZjwTe54DIDg.s&vis=1&ei=p47fW_2bIcjZjwTe54DIDg&zx=1541377705109","-1","","","2152","2104","2146","2146","2152","6","2104","2152","48","20","21","1","0","h2","low","","",
"64.233.180.157","70","","","-1","-1","Image","3","1977","2194","text/html; charset=UTF-8","","1","","-1","2077","https://adservice.google.com/adsid/google/ui","47","2077","204","117","","312","354","376","","private, max-age=15","181105_KZ_1","2024","62","2024","-1","","0","2195","53","GET","0","","","41","0.19","-1","-1","adservice.google.com","-1","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/exm=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/ed=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw/m=sb_wiz,aa,abd,async,dvl,foot,ipv6,mu,sf,mhp,qmp,rQSi2,xz7cCd?xjs=s1","4","1976","/adsid/google/ui","-1","","","2265","2195","2257","2257","2265","8","1977","2265","287","21","22","1","0","h2","low","","",
"74.125.69.103","475","","","-1","-1","Document","3","-1","-1","text/html; charset=UTF-8","0","1","","100","-1","https://www.google.com/","-1","-1","200","-1","","43094","","355","","private","181105_KZ_1","-1","323","-1","100","","132371","25","-1","GET","42333","42333","Mon, 05 Nov 2018 00:28:59 GMT","","0.2.1","-1","-1","www.google.com","100","-1","","1","25","/","-1","","Google","500","25","348","348","500","152","25","500","475","0","1","1","1","h2","high","1","gzip",
"","370","","","-1","-1","Beacon","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?s=webhp&t=aft&atyp=csi&ei=y47fW8b4NsmijwT06o_ABQ&rt=wsrt.439,aft.135,prt.72","-1","-1","204","-1","","0","196","0","","","181105_KZ_1","-1","370","-1","-1","","0","571","-1","POST","0","","","94","0.9","-1","-1","www.google.com","-1","-1","https://www.google.com/","-1","571","/gen_204?s=webhp&t=aft&atyp=csi&ei=y47fW8b4NsmijwT06o_ABQ&rt=wsrt.439,aft.135,prt.72","-1","","","941","571","941","941","941","0","571","941","370","1","2","1","1","","","","",
"","244","","","-1","-1","Beacon","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?atyp=csi&ei=y47fW8b4NsmijwT06o_ABQ&s=webhp&t=all&imn=2&adh=&ima=1&ime=1&imeb=0&imeo=0&rt=aft.136,dcl.102,iml.136,ol.472,prt.71,xjs.626,xjsee.626,xjses.346,xjsls.126,wsrt.439,cst.148,dnst.1,rqst.319,rspt.228,sslt.107,rqstt.186,unt.9,cstt.18,dit.542&zx=1541377740729","-1","-1","204","-1","","0","382","0","","","181105_KZ_1","-1","244","-1","-1","","0","1071","-1","POST","0","","","135","0.12","-1","-1","www.google.com","-1","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","-1","1071","/gen_204?atyp=csi&ei=y47fW8b4NsmijwT06o_ABQ&s=webhp&t=all&imn=2&adh=&ima=1&ime=1&imeb=0&imeo=0&rt=aft.136,dcl.102,iml.136,ol.472,prt.71,xjs.626,xjsee.626,xjses.346,xjsls.126,wsrt.439,cst.148,dnst.1,rqst.319,rspt.228,sslt.107,rqstt.186,unt.9,cstt.18,dit.542&zx=1541377740729","-1","","","1315","1071","1315","1315","1315","0","1071","1315","244","2","3","1","1","","","","",
"74.125.69.103","54","","","-1","-1","XHR","3","-1","-1","application/json; charset=UTF-8","0","1","","100","-1","https://www.google.com/async/promos?ei=y47fW8b4NsmijwT06o_ABQ&yv=3&async=g:19009213,p:19009232,m:i,ic:1,_fmt:jspb","-1","-1","200","-1","","422","344","255","","private","181105_KZ_1","-1","47","-1","100","0","32","1395","-1","GET","52","52","","476","0.20","-1","-1","www.google.com","100","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/m=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw","1","1394","/async/promos?ei=y47fW8b4NsmijwT06o_ABQ&yv=3&async=g:19009213,p:19009232,m:i,ic:1,_fmt:jspb","0","","Google","1449","1395","1442","1442","1449","7","1395","1449","54","3","4","1","1","h2","medium","","gzip",
"74.125.69.103","53","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19009213&client=throttler&ei=y47fW8b4NsmijwT06o_ABQ&zx=1541377741056","-1","-1","200","-1","","367","1","142","","private","181105_KZ_1","-1","40","-1","100","","0","1399","-1","GET","0","","Mon, 05 Nov 2018 00:29:01 GMT","1952","0.21","-1","-1","www.google.com","100","-1","https://www.google.com/","1","1398","/fp_204?atyp=i&ct=&cad=&ptt=1&ptid=19009213&client=throttler&ei=y47fW8b4NsmijwT06o_ABQ&zx=1541377741056","-1","","Google","1452","1399","1439","1439","1452","13","1399","1452","53","4","5","1","1","h2","low","","",
"74.125.69.103","52","","","-1","-1","Image","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.google.com/gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19009232&ic=2&ogd=google.com&ogprm=up&vet=10ahUKEwiGipvF_7veAhVJ0YMKHXT1A1gQjW0IAQ.y47fW8b4NsmijwT06o_ABQ.s&vis=1&ei=y47fW8b4NsmijwT06o_ABQ&zx=1541377741074","-1","-1","204","-1","","110","1","164","","","181105_KZ_1","-1","39","-1","-1","","0","1417","-1","GET","0","","","1952","0.22","-1","-1","www.google.com","-1","-1","https://www.google.com/","1","1416","/gen_204?atyp=i&ct=14&cad=i&ogsr=1&id=19009232&ic=2&ogd=google.com&ogprm=up&vet=10ahUKEwiGipvF_7veAhVJ0YMKHXT1A1gQjW0IAQ.y47fW8b4NsmijwT06o_ABQ.s&vis=1&ei=y47fW8b4NsmijwT06o_ABQ&zx=1541377741074","-1","","","1469","1417","1456","1456","1469","13","1417","1469","52","5","6","1","1","h2","low","","",
"64.233.180.157","129","","","-1","-1","Image","3","1285","1471","text/html; charset=UTF-8","","1","","-1","1345","https://adservice.google.com/adsid/google/ui","2","1345","204","126","","312","354","390","","private, max-age=15","181105_KZ_1","1287","68","1287","-1","","0","1471","58","GET","0","","","41","0.19","-1","-1","adservice.google.com","-1","-1","https://www.google.com/xjs/_/js/k=xjs.qs.en_US.Im5yyRsfcMc.O/am=GACLZAdABAgYSqAAMNi_EDkwCiEC/rt=j/d=1/exm=sx,ByqdBd,CiVnBc,Fkg7bd,HcFEGb,OF7gzc,QfiAub,RMhBfe,T4BAC,Uox2uf,bct,cdos,czrJpf,hsm,if1iFc,jsa,kopZwe,lXXCK,qim,uz938c,vWNDde,ws9Tlc,xPR7tc,xpltpb,yQ43ff,d,csi/ed=1/dg=2/rs=ACT90oFWg47PmueJPIsiVy3T_UQHOtPoPw/m=sb_wiz,aa,abd,async,dvl,foot,ipv6,mu,sf,mhp,qmp,rQSi2,xz7cCd?xjs=s1","2","1283","/adsid/google/ui","-1","","","1600","1471","1539","1539","1600","61","1285","1600","315","6","7","1","1","h2","low","","",
