"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached",
"","61023","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://twitch.tx/","-1","-1","-1","-1","","0","","0","","181105_YF_R","-1","61023","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","twitch.tx","-1","-1","","-1","0","/","-1","","","61023","0","61023","61023","61023","0","0","61023","61023","0","1","1","0",
"","60995","","","-1","-1","Document","3","-1","-1","","1","","-1","-1","https://twitch.tx/","-1","-1","-1","-1","","0","","0","","181105_YF_R","-1","60995","-1","-1","","0","0","-1","GET","0","","","0.2","-1","-1","twitch.tx","-1","-1","","-1","0","/","-1","","","60995","0","60995","60995","60995","0","0","60995","60995","0","1","1","1",
