"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","jpeg_scan_count","score_progressive_jpeg",
"","1318","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/61/name/DIL24Oct11-Slideshow_PS%28071%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1318","-1","-1","","0","1421","-1","GET","0","","","0.36","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1421","/includes/image/type/gallery/id/61/name/DIL24Oct11-Slideshow_PS%28071%29.jpg/width/152/height/152/mode/minfit/","-1","","","2739","1421","2739","2739","2739","0","1421","2739","1318","10","11","1","0","","","","",
"","1318","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/90/name/DIL-6Aug13-Slideshow%28076%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1318","-1","-1","","0","1421","-1","GET","0","","","0.35","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1421","/includes/image/type/gallery/id/90/name/DIL-6Aug13-Slideshow%28076%29.jpg/width/152/height/152/mode/minfit/","-1","","","2739","1421","2739","2739","2739","0","1421","2739","1318","11","12","1","0","","","","",
"","1316","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/60/name/DIL24Oct11-Slideshow_PS%28070%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1316","-1","-1","","0","1421","-1","GET","0","","","0.34","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1421","/includes/image/type/gallery/id/60/name/DIL24Oct11-Slideshow_PS%28070%29.jpg/width/152/height/152/mode/minfit/","-1","","","2737","1421","2737","2737","2737","0","1421","2737","1316","12","13","1","0","","","","",
"","1310","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/19/name/DIL24Oct11-Slideshow_PS%28001%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1310","-1","-1","","0","1422","-1","GET","0","","","0.40","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1422","/includes/image/type/gallery/id/19/name/DIL24Oct11-Slideshow_PS%28001%29.jpg/width/152/height/152/mode/minfit/","-1","","","2732","1422","2732","2732","2732","0","1422","2732","1310","13","14","1","0","","","","",
"","1317","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/18/name/DIL-17Apr12-Slideshow%28074%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1317","-1","-1","","0","1422","-1","GET","0","","","0.39","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1422","/includes/image/type/gallery/id/18/name/DIL-17Apr12-Slideshow%28074%29.jpg/width/152/height/152/mode/minfit/","-1","","","2739","1422","2739","2739","2739","0","1422","2739","1317","14","15","1","0","","","","",
"","1316","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/63/name/DIL24Oct11-Slideshow_PS%28073%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1316","-1","-1","","0","1422","-1","GET","0","","","0.38","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1422","/includes/image/type/gallery/id/63/name/DIL24Oct11-Slideshow_PS%28073%29.jpg/width/152/height/152/mode/minfit/","-1","","","2738","1422","2738","2738","2738","0","1422","2738","1316","15","16","1","0","","","","",
"","1317","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/91/name/DIL-6Aug13-Slideshow%28078%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1317","-1","-1","","0","1423","-1","GET","0","","","0.42","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1423","/includes/image/type/gallery/id/91/name/DIL-6Aug13-Slideshow%28078%29.jpg/width/152/height/152/mode/minfit/","-1","","","2740","1423","2740","2740","2740","0","1423","2740","1317","16","17","1","0","","","","",
"","1314","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/64/name/DIL24Oct11-Slideshow_PS%28075%29.jpg/width/152/height/152/mode/minfit/","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1314","-1","-1","","0","1423","-1","GET","0","","","0.41","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1423","/includes/image/type/gallery/id/64/name/DIL24Oct11-Slideshow_PS%28075%29.jpg/width/152/height/152/mode/minfit/","-1","","","2737","1423","2737","2737","2737","0","1423","2737","1314","17","18","1","0","","","","",
"","1315","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/skins/um2013/media/images/CampusSafetyLogo.jpg","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1315","-1","-1","","0","1424","-1","GET","0","","","0.44","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1424","/skins/um2013/media/images/CampusSafetyLogo.jpg","-1","","","2739","1424","2739","2739","2739","0","1424","2739","1315","18","19","1","0","","","","",
"","1312","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/skins/um2013/media/images/trans_reporting_logo.png","-1","-1","-1","-1","","","0","59","0","","","181105_G4_G","-1","1312","-1","-1","","0","1424","-1","GET","0","","","0.43","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1424","/skins/um2013/media/images/trans_reporting_logo.png","-1","","","2736","1424","2736","2736","2736","0","1424","2736","1312","19","20","1","0","","","","",
