"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"52.222.215.216","280","160219","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/team_sports2x._CB504495787_.png","-1","-1","200","-1","0","160735","179","60","","181105_KJ_5","-1","81","-1","100","620684603","160219","1841","-1","GET","160219","","2","0.19","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1840","/images/G/01/gateway/grid/test/team_sports2x._CB504495787_.png","100","","Amazon CloudFront","2121","1841","1922","1922","2121","199","1841","2121","280","10","11","1","0","h2","low","","max-age=630720000,public","","Tue, 06 Jul 2038 21:00:31 GMT","","",
"52.222.215.216","303","159837","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/headphones2x._CB518612026_.png","-1","-1","200","-1","0","160352","179","59","","181105_KJ_5","-1","120","-1","100","620924450","159837","1842","-1","GET","159837","","2","0.20","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1841","/images/G/01/gateway/grid/test/headphones2x._CB518612026_.png","100","","Amazon CloudFront","2145","1842","1962","1962","2145","183","1842","2145","303","11","12","1","0","h2","low","","max-age=630720000,public","","Fri, 09 Jul 2038 15:37:58 GMT","","",
"52.222.215.216","371","228098","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/outdoor_clothing2x._CB518612026_.png","-1","-1","200","-1","0","228613","179","63","","181105_KJ_5","-1","135","-1","100","624030064","228098","1842","-1","GET","228098","","2","0.21","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1841","/images/G/01/gateway/grid/test/outdoor_clothing2x._CB518612026_.png","100","","Amazon CloudFront","2213","1842","1977","1977","2213","236","1842","2213","371","12","13","1","0","h2","low","","max-age=630720000,public","","Sat, 14 Aug 2038 14:18:12 GMT","","",
"52.222.215.216","372","172621","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://images-na.ssl-images-amazon.com/images/G/01/gateway/grid/test/pet_supplies2x._CB518612027_.png","-1","-1","200","-1","0","173136","179","60","","181105_KJ_5","-1","150","-1","100","623010222","172621","1843","-1","GET","172621","","2","0.22","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","2","1842","/images/G/01/gateway/grid/test/pet_supplies2x._CB518612027_.png","100","","Amazon CloudFront","2215","1843","1993","1993","2215","222","1843","2215","372","13","14","1","0","h2","low","","max-age=630720000,public","","Mon, 02 Aug 2038 19:00:50 GMT","","",
"52.222.215.216","292","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/61gI9g8kEwL._RC|11IYhapguOL.js,614kt976PJL.js,21iSNz47xoL.js,01E8f3KV-NL.js,119KAWlHU6L.js,31fv8bqHLoL.js,31ReKJl2X6L.js,51WivJzk7vL.js,11sT42sZnQL.js,01NATrwbNUL.js,11aNYFFS5hL.js,116tgw9TSaL.js,21auxuI+dRL.js,01PoLXBDXWL.js,61uG4sNLxCL.js,31Qni3UrCZL.js,11BOgvnnntL.js,310TPyYXeTL.js,01qkmZhGmAL.js,01iyxuSGj4L.js,01t-7xu4umL.js_.js?AUIClients/AmazonUI#mobile.143769-T1.168183-T1.144375-T1","-1","-1","200","-1","","116433","130","306","","181105_KJ_5","-1","81","-1","100","630365817","382474","2004","-1","GET","116012","116012","467","0.23","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1846","/images/I/61gI9g8kEwL._RC|11IYhapguOL.js,614kt976PJL.js,21iSNz47xoL.js,01E8f3KV-NL.js,119KAWlHU6L.js,31fv8bqHLoL.js,31ReKJl2X6L.js,51WivJzk7vL.js,11sT42sZnQL.js,01NATrwbNUL.js,11aNYFFS5hL.js,116tgw9TSaL.js,21auxuI+dRL.js,01PoLXBDXWL.js,61uG4sNLxCL.js,31Qni3UrCZL.js,11BOgvnnntL.js,310TPyYXeTL.js,01qkmZhGmAL.js,01iyxuSGj4L.js,01t-7xu4umL.js_.js?AUIClients/AmazonUI","100","","Amazon CloudFront","2296","2004","2085","2085","2296","211","2004","2296","292","14","15","1","0","h2","high","","max-age=630720000,public","gzip","Tue, 26 Oct 2038 22:14:06 GMT","","",
"52.222.215.216","211","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/01mnPuiFP6L._RC|41JI10LeocL.js,11NCEAY25jL.js_.js?AUIClients/GWMWebAssets#animation-true.168211-T1.139616-T1","-1","-1","200","-1","","10033","130","80","","181105_KJ_5","-1","151","-1","100","630425437","31220","2005","-1","GET","9613","9613","467","0.24","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1847","/images/I/01mnPuiFP6L._RC|41JI10LeocL.js,11NCEAY25jL.js_.js?AUIClients/GWMWebAssets","100","","Amazon CloudFront","2216","2005","2156","2156","2216","60","2005","2216","211","15","16","1","0","h2","high","","max-age=630720000,public","gzip","Wed, 27 Oct 2038 14:47:46 GMT","","",
"52.222.215.216","212","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/01Gnofgg9qL.js?AUIClients/AFAPAboveNavAssets","-1","-1","200","-1","","892","130","57","","181105_KJ_5","-1","152","-1","100","623945617","766","2005","-1","GET","471","471","467","0.25","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1848","/images/I/01Gnofgg9qL.js?AUIClients/AFAPAboveNavAssets","100","","Amazon CloudFront","2217","2005","2157","2157","2217","60","2005","2217","212","16","17","1","0","h2","high","","max-age=630720000,public","gzip","Fri, 18 Jun 2038 17:38:03 GMT","","",
"52.222.215.216","229","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/41hnizKJASL._RC|41CNVYWgodL.js,01CMyuQ8OQL.js,31BAecY87JL.js_.js?AUIClients/AmazonNavigationMobileMetaAsset","-1","-1","200","-1","","18750","130","106","","181105_KJ_5","-1","163","-1","100","630481034","58442","2006","-1","GET","18330","18330","467","0.26","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1849","/images/I/41hnizKJASL._RC|41CNVYWgodL.js,01CMyuQ8OQL.js,31BAecY87JL.js_.js?AUIClients/AmazonNavigationMobileMetaAsset","100","","Amazon CloudFront","2235","2006","2169","2169","2235","66","2006","2235","229","17","18","1","0","h2","high","","max-age=630720000,public","gzip","Thu, 28 Oct 2038 06:14:23 GMT","","",
"52.222.215.216","288","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/513rCaPk1zL.js?AUIClients/RetailSearchAutocompleteAssets#mobile","-1","-1","200","-1","","17007","130","64","","181105_KJ_5","-1","216","-1","100","629598531","52795","2006","-1","GET","16586","16586","467","0.27","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1850","/images/I/513rCaPk1zL.js?AUIClients/RetailSearchAutocompleteAssets","100","","Amazon CloudFront","2294","2006","2222","2222","2294","72","2006","2294","288","18","19","1","0","h2","high","","max-age=630720000,public","gzip","Mon, 18 Oct 2038 01:06:00 GMT","","",
"52.222.215.216","287","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://images-na.ssl-images-amazon.com/images/I/11imX6bUyWL.js?AUIClients/RetailWebsiteOverlayAUIAssets","-1","-1","200","-1","","1916","130","64","","181105_KJ_5","-1","215","-1","100","630183559","3316","2008","-1","GET","1496","1496","467","0.28","-1","-1","images-na.ssl-images-amazon.com","100","-1","https://www.amazon.com/","4","1851","/images/I/11imX6bUyWL.js?AUIClients/RetailWebsiteOverlayAUIAssets","100","","Amazon CloudFront","2295","2008","2223","2223","2295","72","2008","2295","287","19","20","1","0","h2","high","","max-age=630720000,public","gzip","Sun, 24 Oct 2038 19:36:28 GMT","","",
