"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"104.78.232.207","501","1684","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/asr/cadc678d-167b-4a59-be74-2102bb78d5f9_1.d6bf9454aa8a22def877aab18c55963b.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","-1","-1","200","-1","0","1899","1","102","","181105_Z9_4","-1","322","-1","100","2586657","1684","3490","-1","GET","1684","","","0.13","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2176","/asr/cadc678d-167b-4a59-be74-2102bb78d5f9_1.d6bf9454aa8a22def877aab18c55963b.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","100","","Akamai","3991","3490","3812","3812","3991","179","3490","3991","501","10","11","1","0","h2","low","","max-age=2586657","","","1","50",
"104.78.232.207","504","40625","","-1","94","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-16e8/k2-_7f7587d8-2a0f-4bd6-b77c-b05c77af3a72.v1.jpg?odnWidth=751&odnHeight=350&odnBg=ffffff","-1","-1","200","-1","2245","40887","1","94","","181105_Z9_4","-1","324","-1","100","2415335","40625","3491","-1","GET","40625","","","0.14","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2177","/dfw/4ff9c6c9-16e8/k2-_7f7587d8-2a0f-4bd6-b77c-b05c77af3a72.v1.jpg?odnWidth=751&odnHeight=350&odnBg=ffffff","100","","Akamai","3995","3491","3815","3815","3995","180","3491","3995","504","11","12","1","0","h2","low","","public, max-age=2415335","","Sun, 02 Dec 2018 23:30:44 GMT","1","0",
"104.78.232.207","497","3894","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/asr/4e2af8af-f501-4d1c-8c75-ca0d43ad81f5_1.b33ce0bdc772e749acc72f3978661018.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","-1","-1","200","-1","0","4113","1","101","","181105_Z9_4","-1","321","-1","100","2418980","3894","3491","-1","GET","3894","","","0.11","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2176","/asr/4e2af8af-f501-4d1c-8c75-ca0d43ad81f5_1.b33ce0bdc772e749acc72f3978661018.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","100","","Akamai","3988","3491","3812","3812","3988","176","3491","3988","497","12","13","1","0","h2","low","","max-age=2418980","","","1","50",
"104.78.232.207","446","30389","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-c3ef/k2-_5a80e7d5-4570-4c62-b979-b6fef8d05a64.v1.png?odnWidth=138&odnHeight=154&odnBg=ffffff","-1","-1","200","-1","0","30649","1","94","","181105_Z9_4","-1","207","-1","100","1673779","30389","3491","-1","GET","30389","","","0.10","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2176","/dfw/4ff9c6c9-c3ef/k2-_5a80e7d5-4570-4c62-b979-b6fef8d05a64.v1.png?odnWidth=138&odnHeight=154&odnBg=ffffff","100","","Akamai","3937","3491","3698","3698","3937","239","3491","3937","446","13","14","1","0","h2","low","","public, max-age=1673779","","Sat, 24 Nov 2018 09:31:28 GMT","","",
"104.78.232.207","486","3881","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/asr/113be720-6e53-4bbd-bfc3-fc699ca4e0ad_1.c604327c21c02727746fb5fee0e7aa13.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","-1","-1","200","-1","0","4096","1","101","","181105_Z9_4","-1","322","-1","100","2586588","3881","3491","-1","GET","3881","","","0.12","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2176","/asr/113be720-6e53-4bbd-bfc3-fc699ca4e0ad_1.c604327c21c02727746fb5fee0e7aa13.jpeg?odnWidth=90&odnHeight=90&odnBg=ffffff","100","","Akamai","3977","3491","3813","3813","3977","164","3491","3977","486","14","15","1","0","h2","low","","max-age=2586588","","","1","50",
"104.78.232.207","501","56095","","-1","100","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-b1cd/k2-_98d37631-7ef0-4439-9c3c-a598e58cb425.v1.jpg?odnWidth=767&odnHeight=338&odnBg=ffffff","-1","-1","200","-1","0","56353","1","94","","181105_Z9_4","-1","207","-1","100","2258692","56095","3491","-1","GET","56095","","","0.9","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2175","/dfw/4ff9c6c9-b1cd/k2-_98d37631-7ef0-4439-9c3c-a598e58cb425.v1.jpg?odnWidth=767&odnHeight=338&odnBg=ffffff","100","","Akamai","3992","3491","3698","3698","3992","294","3491","3992","501","15","16","1","0","h2","low","","public, max-age=2258692","","Sat, 01 Dec 2018 04:00:01 GMT","10","100",
"104.78.232.207","41","","","-1","-1","Stylesheet","3","2161","3503","text/css","0","1","","100","3408","https://i5.walmartimages.com/dfw/63fd9f59-6ace/57132652-ed71-42ee-9bc8-c256b0073184/v1/BogleWeb.css","1228","3408","200","95","","649","1","220","","181105_Z9_4","3389","23","3390","100","360999","2332","3507","18","GET","312","312","","0.3","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","2159","/dfw/63fd9f59-6ace/57132652-ed71-42ee-9bc8-c256b0073184/v1/BogleWeb.css","50","","Akamai","3548","3507","3530","3530","3548","18","2161","3548","1382","16","17","1","0","h2","high","","public, max-age=360999","gzip","Fri, 09 Nov 2018 04:51:48 GMT","","",
"104.78.232.207","287","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-30e6/k2-_ce6b2cd5-7246-488c-9811-0f03b44ffd05.v1413.js","-1","-1","200","-1","","48061","62","68","","181105_Z9_4","-1","118","-1","100","2148318","155521","3707","-1","GET","47794","47794","32","0.18","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","3703","/dfw/4ff9c6c9-30e6/k2-_ce6b2cd5-7246-488c-9811-0f03b44ffd05.v1413.js","100","","Akamai","3994","3707","3825","3825","3994","169","3707","3994","287","17","18","1","0","h2","high","","public, max-age=2148318","gzip","Thu, 29 Nov 2018 21:20:27 GMT","","",
"104.78.232.207","277","","","-1","-1","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://i5.walmartimages.com/dfw/4ff9c6c9-6451/k2-_1cf91030-5b66-42d4-88af-42da1d47cf61.v1062.js","-1","-1","200","-1","","33272","122","64","","181105_Z9_4","-1","98","-1","100","2580594","116208","3719","-1","GET","33005","33005","28","0.20","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","3704","/dfw/4ff9c6c9-6451/k2-_1cf91030-5b66-42d4-88af-42da1d47cf61.v1062.js","100","","Akamai","3996","3719","3817","3817","3996","179","3719","3996","277","18","19","1","0","h2","high","","public, max-age=2580594","gzip","Tue, 04 Dec 2018 21:25:03 GMT","","",
"104.78.232.207","1379","","","-1","-1","Font","3","-1","-1","application/font-woff2","0","1","","100","-1","https://i5.walmartimages.com/dfw/63fd9f59-46a2/7eb2b65d-8181-4d26-b75e-7fef6fdc8b02/v1/BogleWeb-Regular.woff2","-1","-1","200","-1","","37146","130","69","","181105_Z9_4","-1","23","-1","100","1624916","36736","3787","-1","GET","36774","36774","","0.22","-1","-1","i5.walmartimages.com","100","-1","https://www.walmart.com/","2","3785","/dfw/63fd9f59-46a2/7eb2b65d-8181-4d26-b75e-7fef6fdc8b02/v1/BogleWeb-Regular.woff2","100","","Akamai","5166","3787","3810","3810","5166","1356","3787","5166","1379","19","20","1","0","h2","medium","","public, max-age=1624916","gzip","Fri, 23 Nov 2018 19:57:05 GMT","","",
