"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","jpeg_scan_count","score_progressive_jpeg","expires",
"13.107.21.200","101","","","-1","-1","Document","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rs/2W/2D/cj,nj/dcc454e1/e764f426.js","-1","-1","200","-1","","1231","","43","","public, max-age=15552000","br","181105_8N_6","-1","36","-1","0","15552000","1583","1074","-1","GET","874","874","","0.12","-1","-1","www.bing.com","100","-1","","1","1073","/rs/2W/2D/cj,nj/dcc454e1/e764f426.js","100","","","1175","1074","1110","1110","1175","65","1074","1175","101","10","11","1","0","h2","high","","","","",
"13.107.21.200","117","","","-1","-1","XHR","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.bing.com/notifications/render?bnptrigger=%7B%22PartnerId%22%3A%22HomePage%22%2C%22IID%22%3A%22SERP.2000%22%2C%22Attributes%22%3A%7B%22RawRequestURL%22%3A%22%2F%3FtoWww%3D1%26redig%3DB7763EC4CDD647798109EE01B0285E5C%22%7D%7D&IG=BAF14837E02B459E8E1CB813072283B5&IID=SERP.2000","-1","-1","200","-1","","4134","2","208","","no-cache","gzip","181105_8N_6","-1","107","-1","-1","","9521","1210","-1","GET","3814","3814","2099","0.16","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1209","/notifications/render?bnptrigger=%7B%22PartnerId%22%3A%22HomePage%22%2C%22IID%22%3A%22SERP.2000%22%2C%22Attributes%22%3A%7B%22RawRequestURL%22%3A%22%2F%3FtoWww%3D1%26redig%3DB7763EC4CDD647798109EE01B0285E5C%22%7D%7D&IG=BAF14837E02B459E8E1CB813072283B5&IID=SERP.2000","-1","","","1327","1210","1317","1317","1327","10","1210","1327","117","11","12","1","0","h2","medium","","","","",
"13.107.21.200","54","937","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.bing.com/s/bnp/BNPOpalappIcon.png","-1","-1","200","-1","0","1244","2","35","","public, max-age=15552000","","181105_8N_6","-1","29","-1","0","15552000","937","1331","-1","GET","937","","1993","0.17","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1330","/s/bnp/BNPOpalappIcon.png","100","","","1385","1331","1360","1360","1385","25","1331","1385","54","12","13","1","0","h2","low","","","","",
"13.107.21.200","57","260","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://www.bing.com/rs/3X/9r/ic/a5eb578c/409a194b.png","-1","-1","200","-1","0","567","2","41","","public, max-age=15552000","","181105_8N_6","-1","30","-1","0","15552000","260","1332","-1","GET","260","","1993","0.18","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1331","/rs/3X/9r/ic/a5eb578c/409a194b.png","100","","","1389","1332","1362","1362","1389","27","1332","1389","57","13","14","1","0","h2","low","","","","",
"13.107.21.200","65","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://www.bing.com/rms/AutoSug/cj,nj/221f8692/75ae01f9.js?bu=rms+answers+AutoSuggest+Service*Web%24Utils*Web%24EventRegisterer*Web%24EventRegistration*Empty*Empty*Empty*Web%24WebCore*Web%24DataProvider*Empty*Empty*Empty*Web%24Canvas*Web%24Layout*Web%24SearchForm*Empty*Empty*Empty*Web%24PrefixThrottling*Empty*Empty*Web%24DeleteHistorySuggestionHandler*Web%24Init","-1","-1","200","-1","","14405","3","278","","public, max-age=15552000","br","181105_8N_6","-1","35","-1","0","15552000","47500","1430","-1","GET","14046","14046","6234","0.21","-1","-1","www.bing.com","100","-1","https://www.bing.com/rms/BingCore.Bundle/cj,nj/3e6a7d75/9a358300.js?bu=rms+answers+Shared+BingCore%24ClientInstV2%24DuplicateXlsDefaultConfig*BingCore%24ClientInstV2%24SharedLocalStorageConfigDefault*BingCore%24shared*BingCore%24env.override*Empty*BingCore%24event.custom.fix*BingCore%24event.native*BingCore%24onHTML*BingCore%24dom*BingCore%24cookies*BingCore%24rmsajax*BingCore%24ClientInstV2%24LogUploadCapFeatureDisabled*BingCore%24ClientInstV2%24ClientInstConfigSeparateOfflineQueue*BingCore%24clientinst*BingCore%24replay*BingCore%24Animation*BingCore%24fadeAnimation*BingCore%24framework","1","1429","/rms/AutoSug/cj,nj/221f8692/75ae01f9.js?bu=rms+answers+AutoSuggest+Service*Web%24Utils*Web%24EventRegisterer*Web%24EventRegistration*Empty*Empty*Empty*Web%24WebCore*Web%24DataProvider*Empty*Empty*Empty*Web%24Canvas*Web%24Layout*Web%24SearchForm*Empty*Empty*Empty*Web%24PrefixThrottling*Empty*Empty*Web%24DeleteHistorySuggestionHandler*Web%24Init","100","","","1495","1430","1465","1465","1495","30","1430","1495","65","14","15","1","0","h2","high","","","","",
"","105","","","-1","-1","Image","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://www.bing.com/ImageResolution.aspx?w=375&h=603&hash=db526ab80070e151d594c8e0022c065b&toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","-1","302","-1","","536","16","0","","private","gzip","181105_8N_6","-1","105","-1","-1","","0","1432","-1","GET","160","","3272","0.22","-1","-1","www.bing.com","-1","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","1432","/ImageResolution.aspx?w=375&h=603&hash=db526ab80070e151d594c8e0022c065b&toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","","","1537","1432","1537","1537","1537","0","1432","1537","105","15","16","1","0","","","","","","",
"13.107.21.200","147","71145","","-1","100","","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/az/hprichbg/rb/NYCM_EN-US8962861446_480x640.jpg","-1","-1","200","-1","0","71383","","157","","public, max-age=691200","","181105_8N_6","-1","31","-1","0","691200","71310","1538","-1","GET","71145","","","0.22.1","-1","-1","www.bing.com","100","-1","","1","1538","/az/hprichbg/rb/NYCM_EN-US8962861446_480x640.jpg","100","","","1685","1538","1569","1569","1685","116","1538","1685","147","16","17","1","0","h2","low","","1","0","",
"13.107.21.200","207","","","-1","-1","XHR","3","-1","-1","text/html; charset=utf-8","0","1","","100","-1","https://www.bing.com/hpmob?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C&IG=BAF14837E02B459E8E1CB813072283B5&IID=SERP.5000","-1","-1","200","-1","","28227","16","91","","private","gzip","181105_8N_6","-1","140","-1","-1","","76056","1691","-1","GET","27880","27880","15326","0.23","-1","-1","www.bing.com","100","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","1","1690","/hpmob?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C&IG=BAF14837E02B459E8E1CB813072283B5&IID=SERP.5000","-1","","","1898","1691","1831","1831","1898","67","1691","1898","207","17","18","1","0","h2","medium","","","","",
"","70","","","-1","-1","Image","3","-1","-1","text/html; charset=utf-8","","1","","-1","-1","https://www.bing.com/ImageResolution.aspx?w=375&h=603&hash=db526ab80070e151d594c8e0022c065b&toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","-1","302","-1","","536","16","0","","private","gzip","181105_8N_6","-1","70","-1","-1","","0","1692","-1","GET","160","","3308","0.24","-1","-1","www.bing.com","-1","-1","https://www.bing.com/?toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","1692","/ImageResolution.aspx?w=375&h=603&hash=db526ab80070e151d594c8e0022c065b&toWww=1&redig=B7763EC4CDD647798109EE01B0285E5C","-1","","","1762","1692","1762","1762","1762","0","1692","1762","70","18","19","1","0","","","","","","",
"13.107.21.200","85","71145","","-1","100","","3","-1","-1","image/jpeg","","1","","-1","-1","https://www.bing.com/az/hprichbg/rb/NYCM_EN-US8962861446_480x640.jpg","-1","-1","200","-1","0","71383","","157","","public, max-age=691200","","181105_8N_6","-1","10","-1","0","691200","71310","1762","-1","GET","71145","","","0.24.1","-1","-1","www.bing.com","100","-1","","1","1762","/az/hprichbg/rb/NYCM_EN-US8962861446_480x640.jpg","100","","","1847","1762","1772","1772","1847","75","1762","1847","85","19","20","1","0","h2","low","","1","0","",
