"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","contentType","is_base_page","cacheControl","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"96.16.204.232","297","","","-1","-1","Image","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/2532198d/coreui.statics/images/social/facebook.svg","-1","-1","200","-1","","1092","55","80","","181105_SA_T","-1","194","-1","100","25800357","465","1319","-1","GET","333","333","","0.14","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1312","/onerfstatics/marketingsites-wcus-prod/_h/2532198d/coreui.statics/images/social/facebook.svg","100","","Akamai","1616","1319","1513","1513","1616","103","1319","1616","297","10","11","1","0","h2","low","image/svg+xml","","public, max-age=25800357","gzip","Fri, 30 Aug 2019 15:52:41 GMT","","",
"96.16.204.232","315","","","-1","-1","Image","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/413bd4a8/coreui.statics/images/social/linkedin.svg","-1","-1","200","-1","","1083","55","80","","181105_SA_T","-1","194","-1","100","29026407","472","1319","-1","GET","325","325","","0.16","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","1","1313","/onerfstatics/marketingsites-wcus-prod/_h/413bd4a8/coreui.statics/images/social/linkedin.svg","100","","Akamai","1634","1319","1513","1513","1634","121","1319","1634","315","11","12","1","0","h2","low","image/svg+xml","","public, max-age=29026407","gzip","Mon, 07 Oct 2019 00:00:11 GMT","","",
"96.16.204.232","293","","","-1","-1","Font","3","1333","1642","","1","","-1","1377","https://www.microsoft.com/mwf/_h/v2.98/mwf.app/fonts/mwfmdl2-v2.98.woff2","19","1377","200","265","","19383","38","218","","181105_SA_T","1352","216","1353","100","31446654","18604","1658","24","GET","18604","","","0.3","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","3","1296","/mwf/_h/v2.98/mwf.app/fonts/mwfmdl2-v2.98.woff2","100","","Akamai","1951","1658","1874","1874","1951","77","1333","1951","601","12","13","1","0","h2","medium","application/font-woff2","","public, max-age=31446654","","Mon, 04 Nov 2019 00:17:39 GMT","","",
"96.16.204.232","149","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/_h/46c44584/coreui.statics/externalscripts/jquery/jquery-3.3.1.min.js","-1","-1","200","-1","","31081","55","93","","181105_SA_T","-1","82","-1","100","27106722","86929","1662","-1","GET","30312","30312","","0.6","-1","-1","www.microsoft.com","100","-1","https://www.microsoft.com/en-us/","3","1301","/onerfstatics/marketingsites-wcus-prod/_h/46c44584/coreui.statics/externalscripts/jquery/jquery-3.3.1.min.js","100","","Akamai","1811","1662","1744","1744","1811","67","1662","1811","149","13","14","1","0","h2","high","application/javascript","","public, max-age=27106722","gzip","Sat, 14 Sep 2019 18:45:26 GMT","","",
"23.47.79.25","91","4054","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE1Mu3b?ver=5c31","-1","-1","200","-1","0","4682","55","255","","181105_SA_T","-1","29","-1","100","348199","4054","1718","-1","GET","4054","","","0.11","-1","-1","img-prod-cms-rt-microsoft-com.akamaized.net","100","-1","https://www.microsoft.com/en-us/","2","1305","/cms/api/am/imageFileData/RE1Mu3b?ver=5c31","50","","Akamai","1809","1718","1747","1747","1809","62","1718","1809","91","14","15","1","0","h2","low","image/png","","public, max-age=348199","","Fri, 09 Nov 2018 01:50:03 GMT","","",
"23.47.79.25","86","11472","","-1","100","Image","3","-1","-1","","1","","-1","-1","https://img-prod-cms-rt-microsoft-com.akamaized.net/cms/api/am/imageFileData/RE2GpyQ?ver=2212&q=90&m=8&h=303&w=539&b=%23FFFFFFFF&l=f&x=645&y=19&s=1151&d=647&aim=true","-1","-1","200","-1","0","11744","55","103","","181105_SA_T","-1","29","-1","100","139924","11472","1722","-1","GET","11472","","","0.12","-1","-1","img-prod-cms-rt-microsoft-com.akamaized.net","100","-1","https://www.microsoft.com/en-us/","2","1310","/cms/api/am/imageFileData/RE2GpyQ?ver=2212&q=90&m=8&h=303&w=539&b=%23FFFFFFFF&l=f&x=645&y=19&s=1151&d=647&aim=true","50","","Akamai","1808","1722","1751","1751","1808","57","1722","1808","86","15","16","1","0","h2","low","image/jpeg","","private, no-transform, max-age=139924","","Tue, 06 Nov 2018 15:58:48 GMT","7","100",
"23.63.204.80","129","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://mem.gfx.ms/meversion?partner=MSHomePage&market=en-us&uhf=1","-1","-1","200","-1","","4687","55","347","","181105_SA_T","-1","56","-1","100","86400","11596","1825","-1","GET","4243","4243","","0.10","-1","-1","mem.gfx.ms","100","-1","https://www.microsoft.com/en-us/","4","1304","/meversion?partner=MSHomePage&market=en-us&uhf=1","50","","Akamai","1954","1825","1881","1881","1954","73","1825","1954","129","16","17","1","0","http/1.1","high","application/javascript","","public, no-transform, max-age=86400","gzip","Mon, 05 Nov 2018 17:31:37 GMT","","",
"64.4.54.254","97","","","-1","-1","Script","3","-1","-1","","1","","-1","-1","https://web.vortex.data.microsoft.com/collect/v1/t.js?ver=%272.1%27&name=%27Ms.Webi.PageView%27&time=%272018-11-05T01%3A06%3A45.115Z%27&os=%27MacOS%27&appId=%27JS%3AMicrosoftHP%27&cV=%27IeiLCWH3%2BUu6gnm%2B.0%27&-ver=%271.0%27&-impressionGuid=%279d4c5360-56b1-49f9-8bc0-987c47def77a%27&-pageName=%27Homepage%27&-uri=%27https%3A%2F%2Fwww.microsoft.com%2Fen-us%2F%27&-market=%27en-us%27&-pageType=%27HomePage%27&-resHeight=667&-resWidth=375&-pageTags=%27%7B%22browserGroup%22%3A%22uplevel.web.mobile.webkit.ios%22%2C%22isTentedPage%22%3Afalse%2C%22tasId%22%3A%225360ea50-630d-44e7-9d6a-e0a0ebc41748%22%2C%22tasMuid%22%3A%222C338CF0CA0B677A321B806ECB2366D1%22%2C%22pageVersion%22%3A%220.1%22%2C%22isCachedPage%22%3Afalse%2C%22enabledFeatures%22%3A%22optimizely_disabled%3A1%2Cuhf_retailstore2%3A1%2CUhfPb%3A1%2CUhfUsePh%3A1%2CEnableLocaleDetection%3A1%2CUhfSwp%3A1%2Cuhfgreenid%3A1%2Cenable_sasslib_minification_runtime%3A1%2Ccore_cookiecompliance_enabled%3A1%2Ccore_akamai_im_enabled%3A1%2Ccoreui_hero_image_resize_90%3A1%2Cuhf_as_iris%3A1%2Ccore_use_coreui_mwf%3A1%2Ccoreui_makeimagebackgroundtransparent%3A1%2Cf_audiencemanager_disabled%3A1%2Ccore_BypassJWTValidation%3A1%2CMSADisableForceSignin%3A1%2CIsRtoRuleDisabled%3A1%2CDisableToSkipMarketdetectionforUknownRoutes%3A1%2Cf_video_uselegacyservice%3A1%2Cuhf_magic_triangle%3A1%2CRelevanceOverride%3A1%2Cpipeline%3A1%2Ccoreui_videomodule_useflexsize%3A1%2Ci_uhf_ckrate__10000%3A1%2CEnableAzureActiveDirectory20%3A1%2CIsIrisV4Enabled%3A1%2Cf_video_useadaptive%3A1%2Ccore_uhf_access_policy%3A1%2Cuhf_st_enabled%3A1%2Cjquery_latest%3A1%2CDisableOneRFSearchRoute%3A1%2CclientTypeSfw%3A1%2CResolveDataProviderByPartnerNameSpace%3A1%2Ccore_disable_extensibility%3A1%2CInvokeLoginAuthorizeAndRedirect%3A1%22%2C%22pageSubType%22%3A%22RETYls%22%2C%22canvasType%22%3A%22Web%22%2C%22deviceFamily%22%3Anull%2C%22isOneRf%22%3Atrue%2C%22isCorpNet%22%3Afalse%2C%22dataVersion%22%3A%2211%2F2%2F2018%207%3A59%3A20%20PM%20%2B00%3A00%22%2C%22serviceName%22%3A%22marketingsites-wcus-prod%22%2C%22metaTags%22%3A%7B%7D%2C%22scripts%22%3A%22JQuery%2CBoomerang%2CComscore%2CClickTale%2CAudienceManager%22%7D%27&-behavior=0&*baseType=%27Ms.Content.PageView%27&*cookieEnabled=true&*isJs=true&*title=%27Microsoft%20-%20Official%20Home%20Page%27&*isLoggedIn=false&*serverImpressionGuid=%275360ea50-630d-44e7-9d6a-e0a0ebc41748%27&ext-app-env=%27onerf_prod%27&ext-app-expId=%27EX%3Aprodplacementv2ctrl%2CEX%3Axboxcontentondesktop%2CEX%3A18604077c%2CEX%3A18916234c%2CEX%3A19169434chero%2CEX%3Anopromocode%2CEX%3A18983850t2%2CEX%3A17759816t5hybrid%2CEX%3A18655103c%2CEX%3Apre19195009t1%2CEX%3A19050213t1%2CEX%3Asfwaa_control%2CEX%3A16401410c%27&ext-javascript-ver=%271.1%27&ext-javascript-libVer=%274.2.8%27&ext-javascript-domain=%27www.microsoft.com%27&ext-javascript-userConsent=false&ext-user-localId=%27t%3A2C338CF0CA0B677A321B806ECB2366D1%27&$mscomCookies=true","-1","-1","200","-1","","858","1","3213","","181105_SA_T","-1","56","-1","-1","","260","2057","-1","GET","260","","16862","0.19","-1","-1","web.vortex.data.microsoft.com","100","-1","https://www.microsoft.com/onerfstatics/marketingsites-wcus-prod/mscomhp/_scrf/js/themes=default/78-6f121b/86-1c0237?ver=2.0","5","2056","/collect/v1/t.js?ver=%272.1%27&name=%27Ms.Webi.PageView%27&time=%272018-11-05T01%3A06%3A45.115Z%27&os=%27MacOS%27&appId=%27JS%3AMicrosoftHP%27&cV=%27IeiLCWH3%2BUu6gnm%2B.0%27&-ver=%271.0%27&-impressionGuid=%279d4c5360-56b1-49f9-8bc0-987c47def77a%27&-pageName=%27Homepage%27&-uri=%27https%3A%2F%2Fwww.microsoft.com%2Fen-us%2F%27&-market=%27en-us%27&-pageType=%27HomePage%27&-resHeight=667&-resWidth=375&-pageTags=%27%7B%22browserGroup%22%3A%22uplevel.web.mobile.webkit.ios%22%2C%22isTentedPage%22%3Afalse%2C%22tasId%22%3A%225360ea50-630d-44e7-9d6a-e0a0ebc41748%22%2C%22tasMuid%22%3A%222C338CF0CA0B677A321B806ECB2366D1%22%2C%22pageVersion%22%3A%220.1%22%2C%22isCachedPage%22%3Afalse%2C%22enabledFeatures%22%3A%22optimizely_disabled%3A1%2Cuhf_retailstore2%3A1%2CUhfPb%3A1%2CUhfUsePh%3A1%2CEnableLocaleDetection%3A1%2CUhfSwp%3A1%2Cuhfgreenid%3A1%2Cenable_sasslib_minification_runtime%3A1%2Ccore_cookiecompliance_enabled%3A1%2Ccore_akamai_im_enabled%3A1%2Ccoreui_hero_image_resize_90%3A1%2Cuhf_as_iris%3A1%2Ccore_use_coreui_mwf%3A1%2Ccoreui_makeimagebackgroundtransparent%3A1%2Cf_audiencemanager_disabled%3A1%2Ccore_BypassJWTValidation%3A1%2CMSADisableForceSignin%3A1%2CIsRtoRuleDisabled%3A1%2CDisableToSkipMarketdetectionforUknownRoutes%3A1%2Cf_video_uselegacyservice%3A1%2Cuhf_magic_triangle%3A1%2CRelevanceOverride%3A1%2Cpipeline%3A1%2Ccoreui_videomodule_useflexsize%3A1%2Ci_uhf_ckrate__10000%3A1%2CEnableAzureActiveDirectory20%3A1%2CIsIrisV4Enabled%3A1%2Cf_video_useadaptive%3A1%2Ccore_uhf_access_policy%3A1%2Cuhf_st_enabled%3A1%2Cjquery_latest%3A1%2CDisableOneRFSearchRoute%3A1%2CclientTypeSfw%3A1%2CResolveDataProviderByPartnerNameSpace%3A1%2Ccore_disable_extensibility%3A1%2CInvokeLoginAuthorizeAndRedirect%3A1%22%2C%22pageSubType%22%3A%22RETYls%22%2C%22canvasType%22%3A%22Web%22%2C%22deviceFamily%22%3Anull%2C%22isOneRf%22%3Atrue%2C%22isCorpNet%22%3Afalse%2C%22dataVersion%22%3A%2211%2F2%2F2018%207%3A59%3A20%20PM%20%2B00%3A00%22%2C%22serviceName%22%3A%22marketingsites-wcus-prod%22%2C%22metaTags%22%3A%7B%7D%2C%22scripts%22%3A%22JQuery%2CBoomerang%2CComscore%2CClickTale%2CAudienceManager%22%7D%27&-behavior=0&*baseType=%27Ms.Content.PageView%27&*cookieEnabled=true&*isJs=true&*title=%27Microsoft%20-%20Official%20Home%20Page%27&*isLoggedIn=false&*serverImpressionGuid=%275360ea50-630d-44e7-9d6a-e0a0ebc41748%27&ext-app-env=%27onerf_prod%27&ext-app-expId=%27EX%3Aprodplacementv2ctrl%2CEX%3Axboxcontentondesktop%2CEX%3A18604077c%2CEX%3A18916234c%2CEX%3A19169434chero%2CEX%3Anopromocode%2CEX%3A18983850t2%2CEX%3A17759816t5hybrid%2CEX%3A18655103c%2CEX%3Apre19195009t1%2CEX%3A19050213t1%2CEX%3Asfwaa_control%2CEX%3A16401410c%27&ext-javascript-ver=%271.1%27&ext-javascript-libVer=%274.2.8%27&ext-javascript-domain=%27www.microsoft.com%27&ext-javascript-userConsent=false&ext-user-localId=%27t%3A2C338CF0CA0B677A321B806ECB2366D1%27&$mscomCookies=true","-1","","","2154","2057","2113","2113","2154","41","2057","2154","97","17","18","1","0","http/1.1","high","application/javascript","","no-cache, no-store","","0","","",
"23.63.204.80","36","","","-1","-1","Script","3","-1","-1","0","1","","100","-1","https://mem.gfx.ms/me/MeControl/9.18275.0/en-US/meBoot.min.js","-1","-1","200","-1","","8546","1","342","","181105_SA_T","-1","25","-1","100","2592000","22825","2154","-1","GET","8120","8120","3197","0.20","-1","-1","mem.gfx.ms","100","-1","https://mem.gfx.ms/meversion?partner=MSHomePage&market=en-us&uhf=1","4","2153","/me/MeControl/9.18275.0/en-US/meBoot.min.js","100","","Akamai","2190","2154","2179","2179","2190","11","2154","2190","36","18","19","1","0","http/1.1","high","application/javascript","","max-age=2592000","gzip","","","",
"23.195.250.108","119","","","-1","-1","Font","3","1822","2173","","1","","-1","1986","https://c.s-microsoft.com/static/fonts/segoe-ui/west-european/normal/latest.woff2","119","1986","200","187","","34630","1347","195","","181105_SA_T","1941","44","1942","100","178735","34052","2174","44","GET","34052","","","0.17","-1","-1","c.s-microsoft.com","100","-1","https://www.microsoft.com/en-us/","6","1820","/static/fonts/segoe-ui/west-european/normal/latest.woff2","50","","Akamai","2293","2174","2218","2218","2293","75","1822","2293","469","19","20","1","0","h2","medium","application/font-woff2","","public, max-age=178735","","Wed, 07 Nov 2018 02:45:40 GMT","","",
