"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","protocol","priority","is_base_page","cacheControl","contentEncoding","expires",
"157.240.2.25","153","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/y2/r/D7bG4SHXwFl.js","-1","-1","200","-1","","13272","1","40","","181105_7T_E","-1","133","-1","100","31536000","41062","965","-1","GET","12180","12180","","0.10","-1","-1","static.xx.fbcdn.net","100","-1","https://m.facebook.com/","2","802","/rsrc.php/v3/y2/r/D7bG4SHXwFl.js","100","","Facebook","1118","965","1098","1098","1118","20","965","1118","153","10","11","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:02:38 GMT",
"157.240.2.25","194","885","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yT/r/pSbzxdA_VVZ.png","-1","-1","200","-1","0","1904","265","41","","181105_7T_E","-1","52","-1","100","31536000","885","1565","-1","GET","885","","288","0.12","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","1564","/rsrc.php/v3/yT/r/pSbzxdA_VVZ.png","100","","Facebook","1759","1565","1617","1617","1759","142","1565","1759","194","11","12","1","0","h2","low","","public,max-age=31536000,immutable","","Tue, 29 Oct 2019 11:54:34 GMT",
"157.240.2.25","206","313","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yV/r/g7ALbzcD4QX.png","-1","-1","200","-1","0","1332","265","41","","181105_7T_E","-1","47","-1","100","31536000","313","1566","-1","GET","313","","288","0.13","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","1565","/rsrc.php/v3/yV/r/g7ALbzcD4QX.png","100","","Facebook","1772","1566","1613","1613","1772","159","1566","1772","206","12","13","1","0","h2","low","","public,max-age=31536000,immutable","","Wed, 30 Oct 2019 21:58:28 GMT",
"157.240.2.25","200","57606","","-1","100","Image","3","-1","-1","image/png","","1","","-1","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yZ/r/na-BXP__VXn.png","-1","-1","200","-1","0","58627","265","93","","181105_7T_E","-1","28","-1","100","31536000","57606","1573","-1","GET","57606","","288","0.11","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","1563","/rsrc.php/v3/yZ/r/na-BXP__VXn.png","100","","Facebook","1773","1573","1601","1601","1773","172","1573","1773","200","13","14","1","0","h2","low","","public,max-age=31536000,immutable","","Mon, 04 Nov 2019 11:58:59 GMT",
"157.240.2.25","81","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iUat4/yy/l/en_US/nycxZ76Mpsw.js","-1","-1","200","-1","","19522","158","48","","181105_7T_E","-1","24","-1","100","31536000","68695","1798","-1","GET","18326","18326","5975","0.14","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","1797","/rsrc.php/v3iUat4/yy/l/en_US/nycxZ76Mpsw.js","100","","Facebook","1879","1798","1822","1822","1879","57","1798","1879","81","14","15","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:00:26 GMT",
"157.240.2.25","96","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yy/r/DHBr62vVC2M.js","-1","-1","200","-1","","7524","158","40","","181105_7T_E","-1","28","-1","100","31536000","27644","1799","-1","GET","6329","6329","5975","0.15","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","1798","/rsrc.php/v3/yy/r/DHBr62vVC2M.js","100","","Facebook","1895","1799","1827","1827","1895","68","1799","1895","96","15","16","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 05:40:03 GMT",
"157.240.2.25","158","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3ih-D4/yG/l/en_US/ps-TfjPJynY.js","-1","-1","200","-1","","9947","158","49","","181105_7T_E","-1","28","-1","100","31536000","37971","2017","-1","GET","8856","8856","5975","0.16","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2011","/rsrc.php/v3ih-D4/yG/l/en_US/ps-TfjPJynY.js","100","","Facebook","2175","2017","2045","2045","2175","130","2017","2175","158","16","17","1","0","h2","high","","public,max-age=31536000,immutable","br","Thu, 31 Oct 2019 15:34:07 GMT",
"157.240.2.25","75","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/y_/r/adTnlS_oUrm.js","-1","-1","200","-1","","11648","158","40","","181105_7T_E","-1","28","-1","100","31536000","44656","2018","-1","GET","10556","10556","5975","0.17","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2012","/rsrc.php/v3/y_/r/adTnlS_oUrm.js","100","","Facebook","2093","2018","2046","2046","2093","47","2018","2093","75","17","18","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 05:40:37 GMT",
"157.240.2.25","158","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yS/r/mr73CkE1Nw6.js","-1","-1","200","-1","","4752","158","40","","181105_7T_E","-1","33","-1","100","31536000","13529","2019","-1","GET","3661","3661","5975","0.18","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2013","/rsrc.php/v3/yS/r/mr73CkE1Nw6.js","100","","Facebook","2177","2019","2052","2052","2177","125","2019","2177","158","18","19","1","0","h2","high","","public,max-age=31536000,immutable","br","Sun, 03 Nov 2019 13:42:16 GMT",
"157.240.2.25","159","","","-1","-1","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3/yl/r/7aSeOdmBioB.js","-1","-1","200","-1","","14916","158","39","","181105_7T_E","-1","41","-1","100","31536000","52191","2020","-1","GET","13824","13824","5975","0.20","-1","-1","static.xx.fbcdn.net","100","-1","https://static.xx.fbcdn.net/rsrc.php/v3iczx4/yi/l/en_US/4Vz9YUTDTDB.js","2","2014","/rsrc.php/v3/yl/r/7aSeOdmBioB.js","100","","Facebook","2179","2020","2061","2061","2179","118","2020","2179","159","19","20","1","0","h2","high","","public,max-age=31536000,immutable","br","Mon, 04 Nov 2019 12:05:22 GMT",
