"ip_addr","load_ms","image_total","minify_save","score_cookies","score_compress","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","bytesIn","initiator_line","bytesOut","minify_total","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","protocol","priority","is_base_page","contentEncoding","expires","jpeg_scan_count","score_progressive_jpeg",
"151.101.44.246","110","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://www.scdn.co/webpack/spweb-site.min.c20b00af5e7cbcadb187.js","-1","-1","200","-1","","61365","5","342","","181105_EE_C","-1","32","-1","100","31345709","273407","1748","-1","GET","60877","60877","","0.9","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1240","/webpack/spweb-site.min.c20b00af5e7cbcadb187.js","100","","Fastly","1858","1748","1780","1780","1858","78","1748","1858","110","10","11","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 02 Nov 2018 19:56:28 GMT","","",
"151.101.44.246","127","","","-1","-1","Script","3","-1","-1","application/javascript","0","1","","100","-1","https://www.scdn.co/webpack/sp-analytics.0c8200f327a9b93befb7.js","-1","-1","200","-1","","6226","90","340","","181105_EE_C","-1","46","-1","100","31345709","24935","1868","-1","GET","5739","5739","34","0.13","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1867","/webpack/sp-analytics.0c8200f327a9b93befb7.js","100","","Fastly","1995","1868","1914","1914","1995","81","1868","1995","127","11","12","1","0","public, max-age=31536000","http/1.1","high","","gzip","Fri, 02 Nov 2018 19:56:29 GMT","","",
"104.154.127.47","107","","","-1","-1","XHR","3","-1","-1","text/html; charset=UTF-8","","1","","-1","-1","https://www.spotify.com/us/api/v1/event/track/","-1","-1","200","-1","","943","341","574","","181105_EE_C","-1","77","-1","100","","0","1965","-1","POST","0","","42","0.14","-1","-1","www.spotify.com","100","-1","https://www.spotify.com/us/","1","1943","/us/api/v1/event/track/","-1","","Google","2072","1965","2042","2042","2072","30","1965","2072","107","12","13","1","0","max-age=0, must-revalidate, private","h2","medium","","","","","",
"173.194.78.138","110","","","-1","-1","Script","3","1736","1967","text/javascript","0","1","","100","1808","https://www.google-analytics.com/analytics.js","13","1808","200","159","","17742","22","174","","181105_EE_C","1749","68","1751","100","4296","43233","1967","57","GET","17301","17301","83","0.11","-1","-1","www.google-analytics.com","100","-1","https://www.spotify.com/us/","7","1729","/analytics.js","50","","Google","2077","1967","2035","2035","2077","42","1736","2077","339","13","14","1","0","public, max-age=7200","h2","high","","gzip","Mon, 05 Nov 2018 01:59:36 GMT","","",
"151.101.44.246","68","","","-1","-1","Image","3","-1","-1","image/svg+xml","0","1","","100","-1","https://www.scdn.co/i/home/hero-burst-mobile.svg","-1","-1","200","-1","","1429","642","382","","181105_EE_C","-1","28","-1","100","3755350","1687","2000","-1","GET","950","950","","0.17","-1","-1","www.scdn.co","100","-1","https://www.spotify.com/us/","2","1983","/i/home/hero-burst-mobile.svg","100","","Fastly","2068","2000","2028","2028","2068","40","2000","2068","68","14","15","1","0","public, max-age=31536000","http/1.1","low","","gzip","Mon, 18 Dec 2017 11:57:11 GMT","","",
"","666","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://tapestry.tapad.com/tapestry/1?ta_partner_id=950&ta_redirect=https%3A%2F%2Ft.myvisualiq.net%2Fsync%3Fprid%3D1001%26ao%3D0%26pruuid%3DTAPAD_%24%7BIDS%3Akey%7D","-1","-1","302","-1","","569","1","0","","181105_EE_C","-1","666","-1","-1","","0","2035","-1","GET","0","","3604","0.20","-1","-1","tapestry.tapad.com","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2035","/tapestry/1?ta_partner_id=950&ta_redirect=https%3A%2F%2Ft.myvisualiq.net%2Fsync%3Fprid%3D1001%26ao%3D0%26pruuid%3DTAPAD_%24%7BIDS%3Akey%7D","-1","","","2701","2035","2701","2701","2701","0","2035","2701","666","15","16","1","0","","","","","","","","",
"","669","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=1002&ao=0&red=https://idsync.rlcdn.com/420356.gif?partner_uid=${UUID}","-1","-1","302","-1","","561","1","0","","181105_EE_C","-1","669","-1","-1","","0","2036","-1","GET","0","","3604","0.21","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2036","/sync?prid=1002&ao=0&red=https://idsync.rlcdn.com/420356.gif?partner_uid=${UUID}","-1","","","2705","2036","2705","2705","2705","0","2036","2705","669","16","17","1","0","no-cache, no-store, must-revalidate","","","","","","","",
"","673","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=BUKIPNR1&red=https://tags.bluekai.com/site/21398?id=$%7BUUID%7D","-1","-1","302","-1","","302","1","0","","181105_EE_C","-1","673","-1","-1","","0","2036","-1","GET","0","","3604","0.22","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2036","/sync?prid=BUKIPNR1&red=https://tags.bluekai.com/site/21398?id=$%7BUUID%7D","-1","","","2709","2036","2709","2709","2709","0","2036","2709","673","17","18","1","0","no-cache, no-store, must-revalidate","","","","","","","",
"","690","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=EEAEPNR1&red=https%3A%2F%2Floadus.exelator.com%2Fload%2F%3Fp%3D204%26g%3D1260%26buid%3D%24%7BUUID%7D","-1","-1","302","-1","","315","1","0","","181105_EE_C","-1","690","-1","-1","","0","2037","-1","GET","0","","3604","0.24","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2037","/sync?prid=EEAEPNR1&red=https%3A%2F%2Floadus.exelator.com%2Fload%2F%3Fp%3D204%26g%3D1260%26buid%3D%24%7BUUID%7D","-1","","","2727","2037","2727","2727","2727","0","2037","2727","690","18","19","1","0","no-cache, no-store, must-revalidate","","","","","","","",
"","690","","","-1","-1","Image","3","-1","-1","","","1","","-1","-1","https://t.myvisualiq.net/sync?prid=AOEPNR1&ao=0&red=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D125310%26dpuuid%3D%24%7BUUID%7D%26redir%3Dhttps%253A%252F%252Ft.myvisualiq.net%252Fsync%253Fprid%253DAOEPNR1%2526ao%253D0%2526pruuid%253D%2524%257BDD_UUID%257D%250A","-1","-1","302","-1","","407","1","0","","181105_EE_C","-1","690","-1","-1","","0","2037","-1","GET","0","","3604","0.23","-1","-1","t.myvisualiq.net","-1","-1","https://vt.myvisualiq.net/2/afTxMmlGwCNRJiC5Bd75ug%3D%3D/vt-150.js","-1","2037","/sync?prid=AOEPNR1&ao=0&red=https%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D125310%26dpuuid%3D%24%7BUUID%7D%26redir%3Dhttps%253A%252F%252Ft.myvisualiq.net%252Fsync%253Fprid%253DAOEPNR1%2526ao%253D0%2526pruuid%253D%2524%257BDD_UUID%257D%250A","-1","","","2727","2037","2727","2727","2727","0","2037","2727","690","19","20","1","0","no-cache, no-store, must-revalidate","","","","","","","",
