"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","jpeg_scan_count","score_progressive_jpeg",
"151.101.186.109","255","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/sticky_topnav_combined.min.js?cdd40eb7","-1","-1","200","-1","","","2122","85","49","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","298588487","5328","1566","-1","GET","1644","1644","Fri, 21 Apr 2028 22:01:07 GMT","","0.13","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1212","/js_opt/sticky_topnav_combined.min.js?cdd40eb7","100","","Fastly","1821","1566","1710","1710","1821","111","1566","1821","255","10","11","1","0","","",
"151.101.186.109","1347","h2","2163239","","-1","100","low","Image","3","-1","-1","image/png","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/player.png?DEV","-1","-1","200","-1","0","","2163694","85","105","","max-age=315360000","","181105_1R_A","-1","113","-1","100","303415546","2163239","1566","-1","GET","2163239","","Fri, 16 Jun 2028 18:52:08 GMT","","0.7","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1211","/images_v6/marketing/creator_lohp/mobile/player.png?DEV","100","","Fastly","2913","1566","1679","1679","2913","1234","1566","2913","1347","11","12","1","0","","",
"151.101.186.109","262","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript; charset=utf-8","0","1","","100","-1","https://f.vimeocdn.com/js_opt/global/player_manager.min.js?9b637667","-1","-1","200","-1","","","3587","85","49","","max-age=315360000","gzip","181105_1R_A","-1","144","-1","100","309038574","9993","1567","-1","GET","3070","3070","Sun, 20 Aug 2028 20:49:16 GMT","","0.12","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1212","/js_opt/global/player_manager.min.js?9b637667","100","","Fastly","1829","1567","1711","1711","1829","118","1567","1829","262","12","13","1","0","","",
"151.101.186.109","260","h2","28931","","-1","86","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_VideosPerforming_2x.jpg?DEV","-1","-1","200","-1","3960","","29384","85","80","","max-age=315360000","","181105_1R_A","-1","144","-1","100","308054166","28931","1568","-1","GET","28931","","Wed, 09 Aug 2028 11:22:29 GMT","","0.11","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1212","/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_VideosPerforming_2x.jpg?DEV","100","","Fastly","1828","1568","1712","1712","1828","116","1568","1828","260","13","14","1","0","1","0",
"151.101.186.109","202","h2","19107","","-1","85","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_DriveEngagement_2x.jpg?DEV","-1","-1","200","-1","2815","","19561","85","79","","max-age=315360000","","181105_1R_A","-1","107","-1","100","303415549","19107","1568","-1","GET","19107","","Fri, 16 Jun 2028 18:52:12 GMT","","0.10","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1212","/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_DriveEngagement_2x.jpg?DEV","100","","Fastly","1770","1568","1675","1675","1770","95","1568","1770","202","14","15","1","0","1","0",
"151.101.186.109","256","h2","26563","","-1","86","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://f.vimeocdn.com/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_Collab_2x.jpg?DEV","-1","-1","200","-1","3602","","27017","85","73","","max-age=315360000","","181105_1R_A","-1","109","-1","100","303415550","26563","1568","-1","GET","26563","","Fri, 16 Jun 2028 18:52:12 GMT","","0.9","-1","-1","f.vimeocdn.com","100","-1","https://vimeo.com/","2","1211","/images_v6/marketing/creator_lohp/mobile/LOHP_768_VideoTools_Collab_2x.jpg?DEV","100","","Fastly","1824","1568","1677","1677","1824","147","1568","1824","256","15","16","1","0","1","0",
"151.101.186.109","982","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://f.vimeocdn.com/p/3.5.23/js/player.js","-1","-1","200","-1","","","191126","1","32","","max-age=1209600","gzip","181105_1R_A","-1","218","-1","100","1001075","691374","1934","-1","GET","190580","190580","","2284","0.21","-1","-1","f.vimeocdn.com","100","-1","https://f.vimeocdn.com/js_opt/global/player_manager.min.js?9b637667","2","1930","/p/3.5.23/js/player.js","100","","Fastly","2916","1934","2152","2152","2916","764","1934","2916","982","16","17","1","0","","",
"151.101.186.109","301","h2","","","-1","-1","high","Stylesheet","3","-1","-1","text/css","0","1","","100","-1","https://f.vimeocdn.com/p/3.5.23/css/player.css","-1","-1","200","-1","","","18386","1","32","","max-age=1209600","gzip","181105_1R_A","-1","233","-1","100","1001075","135212","1934","-1","GET","17796","17796","","2673","0.22","-1","-1","f.vimeocdn.com","100","-1","https://f.vimeocdn.com/js_opt/global/player_manager.min.js?9b637667","2","1931","/p/3.5.23/css/player.css","100","","Fastly","2235","1934","2167","2167","2235","68","1934","2235","301","17","18","1","0","","",
"52.84.134.49","760","http/1.1","","","-1","-1","high","Script","3","1748","2150","application/javascript","0","1","","100","1934","https://c.amazon-adsystem.com/aax2/apstag.js","106","1934","200","216","","","19020","116","311","","public, max-age=86400","gzip","181105_1R_A","1854","160","1868","100","56438","64927","2150","66","GET","18550","18550","","328","0.19","-1","-1","c.amazon-adsystem.com","100","-1","https://vimeo.com/","3","1744","/aax2/apstag.js","50","","Amazon CloudFront","2910","2150","2310","2310","2910","600","1748","2910","1148","18","19","1","0","","",
"64.233.180.154","728","h2","","","-1","-1","high","Script","3","1750","2191","text/javascript","0","1","","100","1933","https://www.googletagservices.com/tag/js/gpt.js","103","1933","200","258","","","9424","142","168","","private, max-age=900, stale-while-revalidate=3600","gzip","181105_1R_A","1853","178","1856","100","900","25015","2192","77","GET","8931","8931","Mon, 05 Nov 2018 00:46:23 GMT","41","0.20","-1","-1","www.googletagservices.com","100","-1","https://vimeo.com/","4","1745","/tag/js/gpt.js","0","","Google","2920","2192","2370","2370","2920","550","1750","2920","1166","19","20","1","0","","",
